"Date","Status","Type","CheckNumber","Description","Withdrawal","Deposit","RunningBalance"
"05/29/2026","Posted","ATMREBATE","","ATM Fee Rebate","","$27.75","$5,818.86"
"05/29/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$103.95","","$5,791.11"
"05/29/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260529~ Tran: ACH","","$5,895.06","$5,895.06"
"05/27/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$200.00","$0.00"
"05/27/2026","Posted","ACH","","DISCOVER CARD ONLINE PMT 260527","$200.00","","-$200.00"
"05/22/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$103.95","$0.00"
"05/22/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$103.95","","-$103.95"
"05/22/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$4,370.71","$0.00"
"05/22/2026","Posted","ACH","","CITIBANK CRDT CD ONLINE PMT 260522","$7,611.97","","-$4,370.71"
"05/20/2026","Posted","ACH","","CAPITAL ONE CARD ONLINE PMT 260520","$1,240.88","","$3,241.26"
"05/20/2026","Posted","ACH","","CALIFORNIA CU ONLINE PMT 260520","$400.00","","$4,482.14"
"05/20/2026","Posted","ACH","","SDG&E ONLINE PMT 260520","$301.55","","$4,882.14"
"05/18/2026","Posted","ACH","","MAZDA AUTO-RETAI ONLINE PMT 260518","$350.00","","$5,183.69"
"05/17/2026","Posted","CREDIT","","ZELLE FROM NOLIE CAMPBELL","","$30.00","$5,533.69"
"05/16/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$204.00","","$5,503.69"
"05/15/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","$5,707.69"
"05/15/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260515~ Tran: ACH","","$5,895.07","$5,911.64"
"05/13/2026","Posted","ATM","","A649728 2085 E. VALLEY ESCONDIDO","$104.00","","$16.57"
"05/12/2026","Posted","ACH","","DISCOVER (CONA) NET/MOBILE","$300.00","","$120.57"
"05/08/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","$420.57"
"05/08/2026","Posted","ACH","","AAA INSURANCE PAYMENT 260507~ Tran: ACHD","$14.60","","$624.52"
"05/05/2026","Posted","VISA","","VZWRLSS*APOCC VISW 800-922-0204","$284.07","","$639.12"
"05/05/2026","Posted","ACH","","DISCOVER (CONA) NET/MOBILE","$500.00","","$923.19"
"05/05/2026","Posted","ACH","","CHASE CARD SERV ONLINE PMT 260505","$100.00","","$1,423.19"
"05/04/2026","Posted","ACH","","TARGET ONLINE PMT 260504","$101.26","","$1,523.19"
"05/01/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$103.95","","$1,624.45"
"05/01/2026","Posted","ACH","","PNC MORTGAGE ONLINE PMT 260501","$3,400.00","","$1,728.40"
"05/01/2026","Posted","ACH","","EDCO WASTE & REC ONLINE PMT 260501","$90.98","","$5,128.40"
"04/30/2026","Posted","INTADJUST","","Interest Paid","","$0.02","$5,219.38"
"04/30/2026","Posted","ATMREBATE","","ATM Fee Rebate","","$23.30","$5,219.36"
"04/30/2026","Posted","CHECK","995875","Check Paid #995875","$699.00","","$5,196.06"
"04/30/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260430~ Tran: ACH","","$5,895.06","$5,895.06"
"04/24/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$203.95","$0.00"
"04/24/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","-$203.95"
"04/24/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$200.00","$0.00"
"04/24/2026","Posted","ACH","","DISCOVER CARD ONLINE PMT 260424","$200.00","","-$200.00"
"04/23/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$103.50","$0.00"
"04/23/2026","Posted","ATM","","A649728 2085 E. VALLEY ESCONDIDO","$103.50","","-$103.50"
"04/23/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$557.75","$0.00"
"04/23/2026","Posted","ACH","","CITIBANK CRDT CD ONLINE PMT 260423","$9,761.29","","-$557.75"
"04/21/2026","Posted","ACH","","VISTA IRRIGATION ONLINE PMT 260421","$543.65","","$9,203.54"
"04/21/2026","Posted","ACH","","FRANCHISE TAX BD CASTTAXRFD 041626~ Tran","","$6,383.00","$9,747.19"
"04/20/2026","Posted","TRANSFER","","Funds Transfer to Brokerage ...443","$10,500.00","","$3,364.19"
"04/20/2026","Posted","ACH","","CALIFORNIA CU ONLINE PMT 260420","$400.00","","$13,864.19"
"04/20/2026","Posted","ACH","","IRS  TREAS ...310 TAX REF 042026 REF*CAMP*F","","$10,496.00","$14,264.19"
"04/17/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","$3,768.19"
"04/17/2026","Posted","ACH","","CAPITAL ONE CARD ONLINE PMT 260417","$1,259.15","","$3,972.14"
"04/17/2026","Posted","ACH","","MAZDA AUTO-RETAI ONLINE PMT 260417","$350.00","","$5,231.29"
"04/17/2026","Posted","ACH","","SDG&E ONLINE PMT 260417","$313.78","","$5,581.29"
"04/15/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260415~ Tran: ACH","","$5,895.07","$5,895.07"
"04/10/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$22.45","$0.00"
"04/10/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","-$22.45"
"04/08/2026","Posted","ACH","","AAA INSURANCE PAYMENT 260407~ Tran: ACHD","$317.63","","$181.50"
"04/07/2026","Posted","ACH","","DISCOVER (CONA) NET/MOBILE","$500.00","","$499.13"
"04/05/2026","Posted","VISA","","VZWRLSS*APOCC VISW 800-922-0204","$263.45","","$999.13"
"04/05/2026","Posted","DEBIT","","ZELLE TO JULIET  CAMPBELL,Effective  04/","$36.00","","$1,262.58"
"04/04/2026","Posted","DEBIT","","ZELLE TO NOLIE  CAMPBELL","$30.00","","$1,298.58"
"04/04/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$304.00","","$1,328.58"
"04/03/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","$1,632.58"
"04/03/2026","Posted","ACH","","CHASE CARD SERV ONLINE PMT 260403","$100.00","","$1,836.53"
"04/03/2026","Posted","ACH","","TARGET ONLINE PMT 260403","$98.14","","$1,936.53"
"04/02/2026","Posted","ACH","","PNC MORTGAGE ONLINE PMT 260402","$3,400.00","","$2,034.67"
"03/31/2026","Posted","INTADJUST","","Interest Paid","","$0.02","$5,434.67"
"03/31/2026","Posted","ATMREBATE","","ATM Fee Rebate","","$39.40","$5,434.65"
"03/31/2026","Posted","ACH","","DISCOVER (CONA) NET/MOBILE","$500.00","","$5,395.25"
"03/31/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260331~ Tran: ACH","","$5,895.25","$5,895.25"
"03/27/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$699.00","$0.00"
"03/27/2026","Posted","CHECK","995865","Check Paid #995865","$699.00","","-$699.00"
"03/27/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$203.95","$0.00"
"03/27/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","-$203.95"
"03/27/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$200.00","$0.00"
"03/27/2026","Posted","ACH","","DISCOVER CARD ONLINE PMT 260327","$200.00","","-$200.00"
"03/21/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$504.00","$0.00"
"03/21/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$504.00","","-$504.00"
"03/20/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$6,977.67","$0.00"
"03/20/2026","Posted","ACH","","CITIBANK CRDT CD ONLINE PMT 260320","$9,325.76","","-$6,977.67"
"03/20/2026","Posted","ACH","","CALIFORNIA CU ONLINE PMT 260320","$400.00","","$2,348.09"
"03/20/2026","Posted","ACH","","SDG&E ONLINE PMT 260320","$355.85","","$2,748.09"
"03/18/2026","Posted","ACH","","CAPITAL ONE CARD ONLINE PMT 260318","$1,233.31","","$3,103.94"
"03/18/2026","Posted","ACH","","MAZDA AUTO-RETAI ONLINE PMT 260318","$350.00","","$4,337.25"
"03/14/2026","Posted","ATM","","BANK OF AMERICA *NORTH VISTA","$604.00","","$4,687.25"
"03/13/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$604.00","","$5,291.25"
"03/13/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260313~ Tran: ACH","","$5,895.25","$5,895.25"
"03/12/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$699.00","$0.00"
"03/12/2026","Posted","CHECK","995855","Check Paid #995855","$699.00","","-$699.00"
"03/12/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$604.00","$0.00"
"03/12/2026","Posted","ATM","","BANK OF AMERICA *NORTH VISTA","$604.00","","-$604.00"
"03/11/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$103.50","$0.00"
"03/11/2026","Posted","ATM","","A663805 2085 E. VALLEY ESCONDIDO","$103.50","","-$103.50"
"03/10/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$317.64","$0.00"
"03/10/2026","Posted","ACH","","AAA INSURANCE PAYMENT 260309~ Tran: ACHD","$317.64","","-$317.64"
"03/08/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$804.00","$0.00"
"03/08/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$804.00","","-$804.00"
"03/07/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$604.00","$0.00"
"03/07/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$604.00","","-$604.00"
"03/05/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$344.69","$0.00"
"03/05/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$504.00","","-$344.69"
"03/05/2026","Posted","VISA","","VZWRLSS*APOCC VISW 800-922-0204","$263.45","","$159.31"
"03/05/2026","Posted","TRANSFER","","Funds Transfer to Brokerage ...443","$17,200.00","","$422.76"
"03/05/2026","Posted","ACH","","CHASE CARD SERV ONLINE PMT 260305","$100.00","","$17,622.76"
"03/04/2026","Posted","ACH","","TARGET ONLINE PMT 260304","$532.61","","$17,722.76"
"03/03/2026","Posted","ACH","","FID BKG SVC LLC MONEYLINE 260303","","$13,893.30","$18,255.37"
"03/03/2026","Posted","ACH","","EDCO WASTE & REC ONLINE PMT 260303","$90.98","","$4,362.07"
"03/02/2026","Posted","ACH","","PNC MORTGAGE ONLINE PMT 260302","$3,400.00","","$4,453.05"
"03/02/2026","Posted","ACH","","COSTCO CASH REWARD 260301","","$2,392.23","$7,853.05"
"03/01/2026","Posted","ATM","","7ELEVEN-FCTI 1610 S MEL VISTA CHULA","$100.00","","$5,460.82"
"02/28/2026","Posted","DEPOSIT","","Deposit Mobile Banking","","$140.00","$5,560.82"
"02/28/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$103.95","","$5,420.82"
"02/27/2026","Posted","INTADJUST","","Interest Paid","","$0.03","$5,524.77"
"02/27/2026","Posted","ATMREBATE","","ATM Fee Rebate","","$30.75","$5,524.74"
"02/27/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","$5,493.99"
"02/27/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260227~ Tran: ACH","","$5,697.94","$5,697.94"
"02/26/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$200.00","$0.00"
"02/26/2026","Posted","ACH","","DISCOVER CARD ONLINE PMT 260226","$200.00","","-$200.00"
"02/24/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$203.50","$0.00"
"02/24/2026","Posted","ATM","","A649728 2085 E. VALLEY ESCONDIDO","$203.50","","-$203.50"
"02/22/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$203.95","$0.00"
"02/22/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","-$203.95"
"02/21/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$504.00","$0.00"
"02/21/2026","Posted","ATM","","BANK OF AMERICA *NORTH VISTA","$504.00","","-$504.00"
"02/20/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$103.95","$0.00"
"02/20/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$103.95","","-$103.95"
"02/20/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$41.39","$0.00"
"02/20/2026","Posted","ACH","","CITIBANK CRDT CD ONLINE PMT 260220","$6,085.27","","-$41.39"
"02/20/2026","Posted","ACH","","CALIFORNIA CU ONLINE PMT 260220","$400.00","","$6,043.88"
"02/18/2026","Posted","ACH","","CAPITAL ONE CARD ONLINE PMT 260218","$1,222.75","","$6,443.88"
"02/18/2026","Posted","ACH","","VISTA IRRIGATION ONLINE PMT 260218","$399.18","","$7,666.63"
"02/18/2026","Posted","ACH","","MAZDA AUTO-RETAI ONLINE PMT 260218","$350.00","","$8,065.81"
"02/17/2026","Posted","ACH","","SDG&E ONLINE PMT 260217","$364.91","","$8,415.81"
"02/13/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","$8,780.72"
"02/13/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260213~ Tran: ACH","","$5,697.95","$8,984.67"
"02/11/2026","Posted","CHECK","995846","Check Paid #995846","$699.00","","$3,286.72"
"02/11/2026","Posted","VISA","","BEVERAGE HOUSE LIQUOR VISTA","$14.93","","$3,985.72"
"02/10/2026","Posted","DEPOSIT","","Deposit Mobile Banking","","$3,100.00","$4,000.65"
"02/10/2026","Posted","VISA","","SQ *BOOZE BROTHERS BREW Vista","$17.26","","$900.65"
"02/10/2026","Posted","ACH","","AAA INSURANCE PAYMENT 260209~ Tran: ACHD","$317.64","","$917.91"
"02/10/2026","Posted","VISA","","CIRCLE K 01984 VISTA","$8.53","","$1,235.55"
"02/10/2026","Posted","ATM","","A649728 2085 E. VALLEY ESCONDIDO","$203.50","","$1,244.08"
"02/09/2026","Posted","ACH","","KADEN CAMPBELL ACCTVERIFY 260206","$0.60","","$1,447.58"
"02/09/2026","Posted","ACH","","KADEN CAMPBELL ACCTVERIFY 260206","","$0.51","$1,448.18"
"02/09/2026","Posted","ACH","","KADEN CAMPBELL ACCTVERIFY 260206","","$0.09","$1,447.67"
"02/07/2026","Posted","ATM","","CIRCLE K # ...795 SHADOW R VISTA","$203.95","","$1,447.58"
"02/06/2026","Posted","ACH","","CHASE CARD SERV ONLINE PMT 260206","$56.00","","$1,651.53"
"02/05/2026","Posted","VISA","","VZWRLSS*APOCC VISW 800-922-0204","$277.16","","$1,707.53"
"02/05/2026","Posted","VISA","","CHEVRON 0373475 VISTA","$45.88","","$1,984.69"
"02/04/2026","Posted","VISA","","TST* SANDO - THE SHORER OCEANSIDE","$23.89","","$2,030.57"
"02/04/2026","Posted","ACH","","TARGET ONLINE PMT 260204","$297.90","","$2,054.46"
