Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-04-28,2026-04-29,4072,TRADER JOE S #188,Merchandise,64.93,
2026-04-28,2026-04-29,4072,SEPHORA LIBERTYSTATION,Merchandise,17.24,
2026-04-26,2026-04-28,1631,IN-N-OUT SAN MARCOS,Dining,10.06,
2026-04-26,2026-04-27,1631,CIRCLE K 01984,Gas/Automotive,42.43,
2026-04-25,2026-04-27,2720,TRADER JOE S #259,Merchandise,112.17,
2026-04-24,2026-04-27,1631,IN-N-OUT ENCINITAS,Dining,17.02,
2026-04-24,2026-04-25,1631,TRADER JOE S #259,Merchandise,4.48,
2026-04-23,2026-04-24,1631,CHIPOTLE 4795,Dining,11.58,
2026-04-23,2026-04-24,1631,CIRCLE K 01984,Gas/Automotive,49.20,
2026-04-22,2026-04-23,4072,JENSENS FOODS SAN DI,Merchandise,43.86,
2026-04-21,2026-04-22,4072,TRADER JOE S #188,Merchandise,7.30,
2026-04-21,2026-04-22,1631,IN-N-OUT SAN MARCOS,Dining,4.79,
2026-04-19,2026-04-21,4072,IN-N-OUT SDMISSIONVALL,Dining,9.43,
2026-04-18,2026-04-20,1631,CIRCLE K 01984,Gas/Automotive,32.11,
2026-04-17,2026-04-18,4072,TRADER JOE S #188,Merchandise,69.28,
2026-04-17,2026-04-18,4072,TARGET        00002014,Merchandise,59.14,
2026-04-17,2026-04-17,6465,ELECTRONIC PAYMENT,Payment/Credit,,1259.15
2026-04-15,2026-04-16,2720,TRADER JOE S #259,Merchandise,95.67,
2026-04-15,2026-04-16,1631,EMMANUEL FAITH COMMUNI,Other,240.00,
2026-04-14,2026-04-15,4072,TRADER JOE S #188,Merchandise,7.19,
2026-04-13,2026-04-14,4072,JENSENS FOODS SAN DI,Merchandise,73.13,
2026-04-12,2026-04-14,1631,IN-N-OUT ENCINITAS,Dining,31.03,
2026-04-11,2026-04-13,4072,IN-N-OUT PACIFIC BEACH,Dining,12.88,
2026-04-08,2026-04-09,2720,TRADER JOE S #259,Merchandise,11.87,
2026-04-07,2026-04-09,1631,CIRCLE K 01984,Gas/Automotive,52.73,
2026-04-06,2026-04-07,4072,JENSENS FOODS SAN DI,Merchandise,78.81,
2026-04-01,2026-04-02,1631,PLNU,Dining,18.38,
2026-04-01,2026-04-02,1631,JENSENS FOODS SAN DI,Merchandise,24.48,
2026-04-01,2026-04-02,4072,SQ *THE BARISTA BOTANI,Dining,19.40,
2026-03-28,2026-03-30,4072,TRADER JOE S #188,Merchandise,85.34,
2026-03-26,2026-03-27,4072,TM *SAMMY RAE  THE FRI,Entertainment,198.80,
2026-03-25,2026-03-26,4072,ALLIANZ EVENT INS,Insurance,51.00,
2026-03-23,2026-03-24,4072,JENSENS FOODS SAN DI,Merchandise,67.22,
2026-03-20,2026-03-23,2720,ALBERTSONS #3797,Merchandise,9.98,
2026-03-20,2026-03-23,1631,CHICK-FIL-A #02334,Dining,10.86,
2026-03-20,2026-03-21,4072,JENSENS FOODS SAN DI,Merchandise,60.71,
2026-03-18,2026-03-18,6465,ELECTRONIC PAYMENT,Payment/Credit,,1233.31
2026-03-17,2026-03-18,2720,TRADER JOE S #259,Merchandise,243.59,
2026-03-16,2026-03-17,4072,JENSENS FOODS SAN DI,Merchandise,70.20,
2026-03-15,2026-03-17,2720,REI #29 SAN DIEGO,Merchandise,11.27,
2026-03-14,2026-03-16,4072,CIRCLE K 01984,Gas/Automotive,58.99,
2026-03-12,2026-03-14,1631,MAMA KATS,Dining,6.47,
2026-03-11,2026-03-12,1631,CLASSICAL ACAD HS ASB,Other,73.27,
2026-03-09,2026-03-10,4072,GRASS VALLEY GROCERY,Merchandise,26.70,
2026-03-08,2026-03-09,4072,WAL-MART #1616,Merchandise,29.36,
2026-03-07,2026-03-09,4072,CHEVRON 0090543,Gas/Automotive,22.34,
2026-03-05,2026-03-06,4072,TRADER JOE S #188,Merchandise,41.08,
2026-03-04,2026-03-05,2720,TRADER JOE S #259,Merchandise,64.05,
2026-03-03,2026-03-04,2720,TOP OF THE LINE CUTS,Other Services,27.95,
2026-03-02,2026-03-04,1631,IN-N-OUT  CHULAVISTA,Dining,24.47,
2026-03-01,2026-03-02,4072,TRADER JOE S #188,Merchandise,30.60,
2026-03-01,2026-03-02,4072,JENSENS FOODS SAN DI,Merchandise,37.28,
2026-03-01,2026-03-02,2720,TARGET        00024653,Merchandise,68.25,
2026-03-01,2026-03-02,4072,IN-N-OUT SDSPORTSARENA,Dining,10.78,
2026-02-23,2026-02-25,4072,SPROUTS FARMERS MARK,Merchandise,115.32,
2026-02-23,2026-02-24,4072,TRADER JOE S #188,Merchandise,41.32,
2026-02-23,2026-02-24,2720,SP DARN TOUGH,Merchandise,56.09,
2026-02-22,2026-02-23,2720,TRADER JOE S #259,Merchandise,173.26,
2026-02-18,2026-02-20,2720,REI #29 SAN DIEGO,Merchandise,111.26,
2026-02-18,2026-02-18,6465,ELECTRONIC PAYMENT,Payment/Credit,,1222.75
2026-02-17,2026-02-18,2720,TRADER JOE S #259,Merchandise,164.86,
2026-02-15,2026-02-16,4072,JENSENS FOODS SAN DI,Merchandise,4.89,
2026-02-13,2026-02-16,4072,SEPHORA LIBERTYSTATION,Merchandise,28.02,
2026-02-13,2026-02-14,2720,TRADER JOE S #259,Merchandise,23.45,
2026-02-13,2026-02-14,4072,TRADER JOE S #188,Merchandise,30.51,
2026-02-12,2026-02-13,2720,TRADER JOE S #259,Merchandise,16.29,
2026-02-11,2026-02-13,2720,CIRCLE K 01984,Gas/Automotive,44.61,
2026-02-10,2026-02-11,2720,CHIPOTLE 1636,Dining,14.25,
2026-02-08,2026-02-10,1631,IN-N-OUT OCEANSIDE 2,Dining,26.52,
2026-02-09,2026-02-09,1631,TST* MENDOCINO FARMS -,Dining,45.69,
2026-02-07,2026-02-09,2720,TRADER JOE S #259,Merchandise,73.62,
2026-02-07,2026-02-09,4072,TRADER JOE S #188,Merchandise,80.40,
2026-02-03,2026-02-04,2720,TOTALWINE 1137 POS,Merchandise,38.26,
2026-02-03,2026-02-04,2720,TRADER JOE S #259,Merchandise,108.06,
2026-02-01,2026-02-03,1631,SPROUTS FARMERS MARK,Merchandise,14.99,
2026-02-01,2026-02-02,4072,JENSENS FOODS SAN DI,Merchandise,43.75,
2026-02-01,2026-02-02,1631,SQ *LOFTY COFFEE,Dining,29.95,
2026-01-31,2026-02-02,2720,TRADER JOE S #259,Merchandise,39.21,
2026-01-27,2026-01-28,2720,TRADER JOE S #259,Merchandise,95.01,
2026-01-26,2026-01-27,1631,CLASSICAL ACAD HS ASB,Other,26.45,
2026-01-25,2026-01-26,1631,TRADER JOE S #259,Merchandise,107.20,
2026-01-25,2026-01-26,4072,TRADER JOE S #188,Merchandise,72.35,
2026-01-25,2026-01-26,1631,TARGET        00010405,Merchandise,6.50,
2026-01-23,2026-01-24,2720,TRADER JOE S #259,Merchandise,98.57,
2026-01-22,2026-01-23,2720,SQ *HAIR DESIGNS BY KO,Other Services,25.00,
2026-01-20,2026-01-21,2720,TRADER JOE S #022,Merchandise,67.21,
2026-01-19,2026-01-20,4072,TRADER JOE S #188,Merchandise,31.45,
2026-01-19,2026-01-20,2720,TARGET        00021659,Merchandise,34.23,
2026-01-16,2026-01-17,4072,TRADER JOE S #188,Merchandise,58.97,
2026-01-16,2026-01-17,4072,TARGET        00002014,Merchandise,45.64,
2026-01-16,2026-01-16,6465,ELECTRONIC PAYMENT,Payment/Credit,,866.33
2026-01-14,2026-01-15,2720,TRADER JOE S #259,Merchandise,61.75,
2026-01-13,2026-01-14,2720,TARGET        00010405,Merchandise,22.90,
2026-01-12,2026-01-13,4072,PLNU BKST 7580,Merchandise,23.37,
2026-01-09,2026-01-10,2720,TRADER JOE S #022,Merchandise,99.92,
2026-01-09,2026-01-10,4072,TRADER JOE S #188,Merchandise,14.10,
2026-01-09,2026-01-10,4072,RALPHS FUEL # 1212,Gas/Automotive,34.05,
2026-01-07,2026-01-09,4072,THE COFFEE BEAN-T3TS,Dining,6.96,
2026-01-07,2026-01-08,4072,SQ *GUISADOS,Dining,54.83,
2026-01-06,2026-01-08,4072,RPM,Dining,30.86,
2026-01-06,2026-01-07,4072,ZHEN LACQUER GALLERY,Merchandise,7.79,
2026-01-06,2026-01-07,4072,NET*NETSMM,Dining,3.43,
2026-01-05,2026-01-05,4072,Bao Makers Cluny,Dining,6.23,
2026-01-04,2026-01-05,4072,Grab* A-8QLFLC9GW2J2AV,Other Travel,21.51,
2026-01-03,2026-01-05,2720,TRADER JOE S #259,Merchandise,49.98,
2026-01-03,2026-01-03,4072,Bao Makers Cluny,Dining,9.04,
2026-01-02,2026-01-03,4072,SP SUPPORTING EVE LING,Merchandise,51.28,
2026-01-02,2026-01-02,4072,Plain Vanilla - Cluny,Dining,5.60,
2026-01-02,2026-01-02,4072,Plain Vanilla - Cluny,Dining,,7.01
2026-01-02,2026-01-02,4072,Plain Vanilla - Cluny,Dining,14.95,
2025-12-24,2026-01-02,4072,BUS/MRT 770032090,Other Travel,1.40,

